name,position
Paul Givan,First Minister
Michelle O'Neill,deputy First Minister
Gary Middleton,junior Minister
Declan Kearney,junior Minister
Naomi Long,Minister of Justice
Robin Swann,Minister of Health
Conor Murphy,Minister of Finance
Michelle McIlveen,Minister of Education
Edwin Poots,"Minister of Agriculture, Environment and Rural Affairs"
Gordon Lyons,Minister for the Economy
Nichola Mallon,Minister for Infrastructure
Deirdre Hargey,Minister for Communities
