item,itemLabel,position,positionLabel,start,psid
Q17306227,Nichola Mallon,Q24323878,Minister for Infrastructure,2020-01-11,Q17306227-E56B210E-671A-4EE7-A329-4C25AA710FA4
Q20966622,Gordon Lyons,Q24321850,Minister for the Economy,2021-07-06,Q20966622-2D0464B6-C51D-42C0-845B-E8E37F03196A
Q21130106,Gary Middleton,Q6313365,Junior Minister,2021-06-17,Q21130106-688652C7-C315-4192-A6A4-0BEED96D6146
Q24052777,Declan Kearney,Q6313365,Junior Minister,2020-01-11,Q24052777-8B1E5E63-C099-41DB-A90A-C169D6C90C0C
Q5346750,Edwin Poots,Q24321961,"Minister of Agriculture, Environment and Rural Affairs",2020-01-11,Q5346750-09F16483-C791-4C50-9314-879607058887
Q55069282,Deirdre Hargey,Q24321666,Minister of Communities,2020-01-09,Q55069282-379689E9-5764-4BE9-835C-850D4F6590D0
Q578710,Conor Murphy,Q24323272,Minister of Finance,2020-01-11,Q578710-37EF769F-BA9B-4860-8061-1DB1579EEAC0
Q6837153,Michelle McIlveen,Q6866109,Minister of Education,2021-06-14,Q6837153-21F85CCA-98A2-4A7E-BD4C-BD3B433D2044
Q6837191,Michelle O'Neill,Q23729452,deputy First Minister,2020-01-11,Q6837191-A9625BFE-3BB3-4C68-B344-4B26CA6217FF
Q695272,Naomi Long,Q24324044,Minister of Justice,2020-01-11,Q695272-21116337-8E13-4DD9-9AC6-644B3586A63D
Q7150914,Paul Givan,Q22979263,First Minister of Northern Ireland,2021-06-17,Q7150914-60F7D6F2-A86F-442D-A5D2-27385F47B493
Q7352813,Robin Swann,Q89429623,Minister of Health (Northern Ireland),2020-01-11,Q7352813-c4a98ffb-41b2-606b-5f46-c098ed76abcd
