ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
1,Q3062692,1st Executive of Northern Ireland,1998-07-01,11,,,2002-10-14,11,,,,,Q3062693,2nd Executive of Northern Ireland,,,,
2,Q3062693,2nd Executive of Northern Ireland,2002-10-14,11,,,2007-05-08,11,,,Q3062692,1st Executive of Northern Ireland,Q3062695,3rd Executive of Northern Ireland,,,,
3,Q3062695,3rd Executive of Northern Ireland,2007-05-08,11,,,2011-05-16,11,,,Q3062693,2nd Executive of Northern Ireland,Q3062697,4th Executive of Northern Ireland,,,,
4,Q3062697,4th Executive of Northern Ireland,2011-05-16,11,,,2016-05-06,11,,,Q3062695,3rd Executive of Northern Ireland,Q24196975,5th Executive of Northern Ireland,,,,
5,Q24196975,5th Executive of Northern Ireland,2016-05-26,11,,,2017-01-16,11,,,Q3062697,4th Executive of Northern Ireland,Q39053681,6th Executive of Northern Ireland,,,,
6,Q39053681,6th Executive of Northern Ireland,2020-01-11,11,,,,,,,Q24196975,5th Executive of Northern Ireland,,,,,,
