name,position
Naomi Long,Minister of Justice
Robin Swann,Minister of Health
Conor Murphy,Minister of Finance
Michelle McIlveen,Minister of Education
Edwin Poots,"Minister of Agriculture, Environment and Rural Affairs"
Gordon Lyons,Minister for the Economy
John O'Dowd,Minister for Infrastructure
Deirdre Hargey,Minister for Communities
