position,title
Q22979263,First Minister
Q23729452,deputy First Minister
Q24321961,"Minister of Agriculture, Environment and Rural Affairs"
Q24321898,Minister for Agriculture and Rural Development
Q24321666,Minister of Communities
Q108426723,"Minister of Culture, Arts and Leisure"
Q24321850,Minister for the Economy
Q6866109,Minister of Education
Q22979248,Minister for Employment and Learning
Q22979268,"Minister of Enterprise, Trade and Investment"
Q24284762,Minister for the Environment
Q24323272,Minister of Finance
Q6866132,Minister of Finance and Personnel
Q24323339,Minister of Health
Q89429623,Minister of Health
Q23773163,"Minister for Health, Social Services and Public Safety"
Q6866174,Minister of Health and Local Government
Q24323878,Minister for Infrastructure
Q24324044,Minister of Justice
Q24198089,Minister for Regional Development
Q24310329,Minister for Social Development
Q6313365,Junior Minister
Q3409180,Speaker of the Assembly
Q6679069,Lord Chief Justice
Q4818620,Attorney General
